TEAM_ID,TEAM_NAME,TEAM_ABB,SEASON,WINS,VEGAS_WINS,UNDERPERFORMANCE,TANKING,GROUND_TRUTH,BOTTOM8,DELTA_TOP5_MIN_AVG,DELTA_MIN_CONC,DELTA_ROOKIE_MIN_SHARE,DELTA_PM,DELTA_WR,DELTA_DEFLECTIONS,DELTA_CONTESTED_SHOTS,DELTA_LOOSE_BALLS_RECOVERED,DELTA_CHARGES_DRAWN,DELTA_INACTIVE_RATE,TANK_PROB
1610612747,Los Angeles Lakers,LAL,2016-17,26,24.5,1.5,0,0,1,4.498755393295717,-0.0398310374927919,0.0685812050240727,-2.057471264367817,-0.035919540229885,1.8900000000000008,0.3699999999999903,1.3000000000000007,-0.08,0.1367816091954023,0.2875032560802962
1610612748,Miami Heat,MIA,2016-17,41,34.5,6.5,0,0,0,-1.9893653516295016,0.0420898177885986,0.013154163538911,6.76,0.2014035087719298,1.1899999999999995,-0.5499999999999972,0.4200000000000008,0.18,-0.136140350877193,0.025862706817591622
1610612749,Milwaukee Bucks,MIL,2016-17,42,34.5,7.5,0,0,0,1.515936820202402,-0.0114212427464346,0.007479820161406,-1.383838383838384,0.1750841750841751,-1.2199999999999989,-3.740000000000002,0.9000000000000004,0.25,0.0742087542087542,0.09487321591623867
1610612750,Minnesota Timberwolves,MIN,2016-17,31,41.5,-10.5,0,0,1,0.722503848897901,-0.0831772517187096,0.0159591820668937,-0.7052631578947369,-0.0259649122807017,1.2599999999999998,1.3599999999999994,1.3499999999999996,-0.07,0.151859649122807,0.6939916271305661
1610612751,Brooklyn Nets,BKN,2016-17,20,21.5,-1.5,0,0,1,-1.3781393997260167,-0.0662398249919874,0.0028848454415851,6.365384615384615,0.2623626373626373,0.3499999999999996,1.2800000000000011,1.6800000000000006,0.13,-0.0491758241758241,0.3771449749371477
1610612752,New York Knicks,NYK,2016-17,31,38.5,-7.5,0,0,1,2.743027888446214,-0.1897889366442584,-0.0378623620198727,-1.7971929824561403,-0.0835087719298245,1.3600000000000012,-0.1799999999999997,1.6000000000000003,0.07,0.2727017543859649,0.8879808784397425
1610612753,Orlando Magic,ORL,2016-17,29,37.5,-8.5,0,0,1,2.9689487345879293,0.0554570537608668,0.050490332981604,0.0445402298850572,-0.028735632183908,3.0299999999999994,-2.4299999999999997,3.120000000000001,-0.0299999999999999,-0.2100574712643678,0.44829192573172844
1610612754,Indiana Pacers,IND,2016-17,42,44.5,-2.5,0,0,0,-0.4157241379310363,0.0597533238209501,0.0351699739796446,2.272280701754386,0.0112280701754385,-0.129999999999999,-0.3400000000000034,2.92,-0.2099999999999999,-0.0842105263157894,0.1431855886084017
1610612755,Philadelphia 76ers,PHI,2016-17,28,23.5,4.5,1,1,1,3.433402525514616,-0.1152197209738075,0.0594022193055721,-0.2774725274725282,-0.1057692307692307,-0.8099999999999987,2.4100000000000037,2.6500000000000004,-0.26,0.1554945054945055,0.39558613684035765
1610612756,Phoenix Suns,PHX,2016-17,24,29.5,-5.5,0,0,1,1.3667299778410893,-0.185996971378801,0.0527854990517894,-0.5838596491228074,-0.0757894736842105,0.0999999999999996,3.770000000000003,0.4199999999999999,-0.12,0.2286315789473684,0.7223384481657883
1610612757,Portland Trail Blazers,POR,2016-17,41,45.5,-4.5,0,0,0,0.1904761904761933,-0.0135702364354053,0.004111176741279,7.188186813186814,0.2815934065934066,-0.9400000000000012,1.0600000000000025,1.739999999999999,-0.1999999999999999,-0.023076923076923,0.2790997005514642
