TEAM_ID,ROSTER_AGE,SEASON
1610612737,25.64481525625745,2018-19
1610612738,26.219705549263875,2018-19
1610612739,25.417061611374407,2018-19
1610612740,25.627710843373492,2018-19
1610612741,24.58395061728395,2018-19
1610612742,27.929988331388564,2018-19
1610612743,25.31113662456946,2018-19
1610612744,28.325431034482758,2018-19
1610612745,29.269662921348313,2018-19
1610612746,27.134110787172013,2018-19
1610612747,27.010022271714924,2018-19
1610612748,27.675792507204612,2018-19
1610612749,27.79449152542373,2018-19
1610612750,27.048178613396004,2018-19
1610612751,26.015457788347206,2018-19
1610612752,23.711757269279392,2018-19
1610612753,25.378947368421052,2018-19
1610612754,27.122559652928416,2018-19
1610612755,27.425462459194776,2018-19
1610612756,24.236144578313255,2018-19
1610612757,26.038668098818476,2018-19
1610612758,25.532150776053214,2018-19
1610612759,28.265073947667805,2018-19
1610612760,26.09988649262202,2018-19
1610612761,27.966785290628707,2018-19
1610612762,28.071661237785015,2018-19
1610612763,27.078362573099415,2018-19
1610612764,26.724691358024693,2018-19
1610612765,27.466148723640398,2018-19
1610612766,26.873538788522847,2018-19
1610612737,25.603821656050954,2019-20
1610612738,25.50432632880099,2019-20
1610612739,25.191904047976013,2019-20
1610612740,25.61148197596796,2019-20
1610612741,25.034732272069466,2019-20
1610612742,26.98833138856476,2019-20
1610612743,26.20248447204969,2019-20
1610612744,24.187637969094922,2019-20
1610612745,29.59220779220779,2019-20
1610612746,27.99739921976593,2019-20
1610612747,30.0225,2019-20
1610612748,26.680878552971578,2019-20
1610612749,29.963470319634702,2019-20
1610612750,23.747557003257327,2019-20
1610612751,26.6476821192053,2019-20
1610612752,25.0065445026178,2019-20
1610612753,26.325213154689404,2019-20
1610612754,25.846858638743456,2019-20
1610612755,26.69382716049383,2019-20
1610612756,24.648611111111112,2019-20
1610612757,26.621052631578948,2019-20
1610612758,26.78497409326425,2019-20
1610612759,27.11154345006485,2019-20
1610612760,25.519685039370078,2019-20
1610612761,26.50925925925926,2019-20
1610612762,27.097986577181207,2019-20
1610612763,24.972116603295312,2019-20
1610612764,25.220149253731343,2019-20
1610612765,25.76134699853587,2019-20
1610612766,24.49241146711636,2019-20
1610612737,25.772264631043257,2020-21
1610612738,24.58839050131926,2020-21
1610612739,24.29281045751634,2020-21
1610612740,24.95145631067961,2020-21
1610612741,26.83517835178352,2020-21
1610612742,27.08875,2020-21
1610612743,26.837125748502995,2020-21
1610612744,26.64737550471063,2020-21
1610612745,26.79375,2020-21
1610612746,28.69191919191919,2020-21
1610612747,28.336969696969696,2020-21
1610612748,27.639275766016713,2020-21
1610612749,28.21002386634845,2020-21
1610612750,23.55297157622739,2020-21
1610612751,28.464524765729585,2020-21
1610612752,26.04272363150868,2020-21
1610612753,24.70906432748538,2020-21
1610612754,26.45917001338688,2020-21
1610612755,26.952542372881357,2020-21
1610612756,26.903508771929825,2020-21
1610612757,27.271306818181817,2020-21
1610612758,25.58707124010554,2020-21
1610612759,25.516443361753957,2020-21
1610612760,23.507309941520468,2020-21
1610612761,26.843342036553526,2020-21
1610612762,28.084439083232812,2020-21
1610612763,24.388814913448734,2020-21
1610612764,26.706918238993712,2020-21
1610612765,24.35441370223979,2020-21
1610612766,25.257477243172954,2020-21
1610612737,26.822429906542055,2021-22
1610612738,26.32685297691373,2021-22
1610612739,25.768805309734514,2021-22
1610612740,26.55056179775281,2021-22
1610612741,26.242424242424242,2021-22
1610612742,27.28430296377607,2021-22
1610612743,27.9789029535865,2021-22
1610612744,27.93201754385965,2021-22
1610612745,23.830694275274055,2021-22
1610612746,27.51279069767442,2021-22
1610612747,30.535626535626534,2021-22
1610612748,28.296296296296298,2021-22
1610612749,28.594533029612755,2021-22
1610612750,24.553418803418804,2021-22
1610612751,28.637626262626263,2021-22
1610612752,26.204651162790697,2021-22
1610612753,24.17386091127098,2021-22
1610612754,25.333785617367706,2021-22
1610612755,27.282080924855492,2021-22
1610612756,28.101511879049674,2021-22
1610612757,25.467403314917128,2021-22
1610612758,26.827932960893854,2021-22
1610612759,24.064209274673008,2021-22
1610612760,23.21718931475029,2021-22
1610612761,25.24057649667406,2021-22
1610612762,28.411003236245953,2021-22
1610612763,24.33008658008658,2021-22
1610612764,26.49820788530466,2021-22
1610612765,24.19777503090235,2021-22
1610612766,25.594817432273263,2021-22
1610612737,24.456382978723404,2022-23
1610612738,27.783482142857142,2022-23
1610612739,26.247461928934012,2022-23
1610612740,26.4,2022-23
1610612741,27.120092378752886,2022-23
1610612742,28.513636363636362,2022-23
1610612743,27.563218390804597,2022-23
1610612744,27.167458432304038,2022-23
1610612745,22.35196950444727,2022-23
1610612746,29.71076923076923,2022-23
1610612747,26.260047281323878,2022-23
1610612748,28.22820512820513,2022-23
1610612749,30.285380116959065,2022-23
1610612750,26.132890365448507,2022-23
1610612751,27.57456140350877,2022-23
1610612752,25.317391304347826,2022-23
1610612753,23.391590013140604,2022-23
1610612754,25.706681766704417,2022-23
1610612755,28.255387931034484,2022-23
1610612756,28.689922480620154,2022-23
1610612757,24.363213038416763,2022-23
1610612758,25.933471933471935,2022-23
1610612759,24.325693606755127,2022-23
1610612760,23.249400479616305,2022-23
1610612761,26.633630289532295,2022-23
1610612762,26.63716814159292,2022-23
1610612763,24.356521739130436,2022-23
1610612764,26.79806529625151,2022-23
1610612765,24.708701134930642,2022-23
1610612766,24.2461752433936,2022-23
1610612737,26.479140328697852,2023-24
1610612738,27.642533936651585,2023-24
1610612739,27.31408775981524,2023-24
1610612740,26.359906213364596,2023-24
1610612741,27.481392557022808,2023-24
1610612742,26.382769901853873,2023-24
