TEAM_ID,DEFLECTIONS_PRE,CONTESTED_SHOTS_PRE,LOOSE_BALLS_RECOVERED_PRE,SCREEN_ASSISTS_PRE,CHARGES_DRAWN_PRE,DEFLECTIONS_POST,CONTESTED_SHOTS_POST,LOOSE_BALLS_RECOVERED_POST,SCREEN_ASSISTS_POST,CHARGES_DRAWN_POST,DELTA_DEFLECTIONS,DELTA_CONTESTED_SHOTS,DELTA_LOOSE_BALLS_RECOVERED,DELTA_SCREEN_ASSISTS,DELTA_CHARGES_DRAWN,SEASON
1610612760,17.34,61.58,9.36,9.97,0.46,15.57,62.91,10.35,8.78,0.48,-1.7699999999999996,1.3299999999999983,0.9900000000000002,-1.1900000000000013,0.019999999999999962,2017-18
1610612753,13.65,57.84,7.28,9.42,0.67,14.24,56.48,8.28,8.64,0.6,0.5899999999999999,-1.3600000000000065,0.9999999999999991,-0.7799999999999994,-0.07000000000000006,2017-18
1610612755,16.0,63.22,8.98,8.78,0.33,14.85,63.19,10.11,11.89,0.67,-1.1500000000000004,-0.030000000000001137,1.129999999999999,3.110000000000001,0.34,2017-18
1610612756,12.14,63.8,7.78,10.36,0.34,13.7,63.65,8.04,11.61,0.3,1.5599999999999987,-0.14999999999999858,0.2599999999999989,1.25,-0.040000000000000036,2017-18
1610612757,12.36,63.14,8.31,11.98,0.22,13.13,63.67,9.0,10.71,0.13,0.7700000000000014,0.5300000000000011,0.6899999999999995,-1.2699999999999996,-0.09,2017-18
1610612758,14.42,61.74,8.28,8.89,0.23,13.04,62.12,8.44,9.92,0.28,-1.3800000000000008,0.37999999999999545,0.16000000000000014,1.0299999999999994,0.05000000000000002,2017-18
1610612759,14.53,63.88,7.68,8.22,0.59,14.09,65.65,9.13,8.3,0.39,-0.4399999999999995,1.7700000000000031,1.450000000000001,0.08000000000000007,-0.19999999999999996,2017-18
1610612761,15.56,64.18,8.25,9.49,0.88,13.08,64.56,8.72,9.32,0.8,-2.4800000000000004,0.37999999999999545,0.47000000000000064,-0.16999999999999993,-0.07999999999999996,2017-18
1610612762,15.41,61.48,7.79,10.47,0.22,14.29,65.29,8.63,10.71,0.38,-1.120000000000001,3.8100000000000094,0.8400000000000007,0.2400000000000002,0.16,2017-18
1610612764,15.12,58.74,7.95,11.11,0.75,14.28,58.24,8.16,9.48,0.92,-0.8399999999999999,-0.5,0.20999999999999996,-1.629999999999999,0.17000000000000004,2017-18
1610612737,14.67,63.57,10.0,7.55,0.57,14.08,62.17,8.17,8.92,0.38,-0.5899999999999999,-1.3999999999999986,-1.83,1.37,-0.18999999999999995,2018-19
1610612738,14.16,63.76,8.81,8.93,0.59,13.83,58.79,7.17,7.92,0.88,-0.33000000000000007,-4.969999999999999,-1.6400000000000006,-1.0099999999999998,0.29000000000000004,2018-19
1610612751,11.98,65.64,8.44,11.08,0.27,12.48,69.52,7.0,10.83,0.43,0.5,3.8799999999999955,-1.4399999999999995,-0.25,0.15999999999999998,2018-19
1610612766,12.84,65.51,8.16,11.05,0.58,12.0,62.28,7.84,11.04,0.64,-0.8399999999999999,-3.230000000000004,-0.3200000000000003,-0.010000000000001563,0.06000000000000005,2018-19
1610612741,13.4,62.29,8.17,8.22,0.38,10.54,59.0,7.21,8.5,0.5,-2.860000000000001,-3.289999999999999,-0.96,0.27999999999999936,0.12,2018-19
1610612739,11.76,60.09,7.79,9.74,0.41,11.96,54.42,7.04,10.08,0.79,0.20000000000000107,-5.670000000000002,-0.75,0.33999999999999986,0.38000000000000006,2018-19
1610612742,12.26,62.49,9.04,8.37,0.72,9.8,63.52,6.84,8.84,1.16,-2.459999999999999,1.0300000000000011,-2.1999999999999993,0.47000000000000064,0.43999999999999995,2018-19
1610612743,13.6,61.19,8.79,8.96,0.4,14.56,57.16,8.08,9.08,0.52,0.9600000000000009,-4.030000000000001,-0.7099999999999991,0.11999999999999922,0.12,2018-19
1610612765,12.2,58.14,8.3,8.75,0.8,12.08,59.73,8.38,10.96,0.38,-0.11999999999999922,1.5899999999999963,0.08000000000000007,2.210000000000001,-0.42000000000000004,2018-19
1610612744,13.49,66.53,9.26,11.37,0.74,15.8,60.4,7.52,9.24,0.76,2.3100000000000005,-6.130000000000003,-1.7400000000000002,-2.129999999999999,0.020000000000000018,2018-19
1610612745,14.96,57.14,8.96,6.49,0.63,14.8,53.44,7.28,7.44,0.96,-0.16000000000000014,-3.700000000000003,-1.6800000000000006,0.9500000000000002,0.32999999999999996,2018-19
1610612754,14.34,63.16,9.03,9.07,0.72,13.67,60.79,7.42,8.75,0.42,-0.6699999999999999,-2.3699999999999974,-1.6099999999999994,-0.3200000000000003,-0.3,2018-19
1610612746,12.41,64.95,8.02,9.95,0.78,13.09,60.26,7.26,7.3,0.35,0.6799999999999997,-4.690000000000005,-0.7599999999999998,-2.6499999999999995,-0.43000000000000005,2018-19
1610612747,11.61,64.68,8.75,8.86,0.37,12.6,63.8,8.04,8.72,0.76,0.9900000000000002,-0.8800000000000097,-0.7100000000000009,-0.1399999999999988,0.39,2018-19
1610612763,14.29,61.98,9.51,7.32,0.68,15.04,58.91,7.48,8.52,0.26,0.75,-3.0700000000000003,-2.0299999999999994,1.1999999999999993,-0.42000000000000004,2018-19
1610612748,13.43,64.11,9.23,8.59,0.32,14.77,62.27,7.46,8.0,0.54,1.3399999999999999,-1.8399999999999963,-1.7700000000000005,-0.5899999999999999,0.22000000000000003,2018-19
1610612749,13.6,74.35,8.6,6.84,0.79,12.12,73.76,8.64,6.8,0.56,-1.4800000000000004,-0.5899999999999892,0.040000000000000924,-0.040000000000000036,-0.22999999999999998,2018-19
1610612750,15.02,65.89,9.63,7.4,0.67,13.32,67.28,6.6,7.56,0.72,-1.6999999999999993,1.3900000000000006,-3.030000000000001,0.15999999999999925,0.04999999999999993,2018-19
1610612740,13.44,65.98,9.05,8.08,0.27,12.52,63.04,8.43,7.43,0.61,-0.9199999999999999,-2.940000000000005,-0.620000000000001,-0.6500000000000004,0.33999999999999997,2018-19
1610612752,11.88,63.88,8.66,10.09,0.67,10.5,67.63,7.38,8.33,0.33,-1.3800000000000008,3.749999999999993,-1.2800000000000002,-1.7599999999999998,-0.34,2018-19
1610612760,16.16,65.84,10.05,7.14,0.51,14.04,67.24,7.84,6.8,0.64,-2.120000000000001,1.3999999999999915,-2.210000000000001,-0.33999999999999986,0.13,2018-19
1610612753,11.71,58.58,8.03,10.59,0.36,11.65,55.26,7.09,9.39,0.39,-0.0600000000000005,-3.3200000000000003,-0.9399999999999995,-1.1999999999999993,0.030000000000000027,2018-19
1610612755,13.09,62.95,8.24,10.0,0.26,12.5,60.13,7.71,9.54,0.25,-0.5899999999999999,-2.8200000000000003,-0.5300000000000002,-0.46000000000000085,-0.010000000000000009,2018-19
1610612756,14.78,60.37,8.25,8.85,0.39,14.96,63.57,8.61,8.35,0.35,0.1800000000000015,3.200000000000003,0.35999999999999943,-0.5,-0.040000000000000036,2018-19
1610612757,12.14,67.0,8.28,10.91,0.11,12.68,58.92,8.0,11.12,0.48,0.5399999999999991,-8.079999999999998,-0.27999999999999936,0.20999999999999908,0.37,2018-19
1610612758,14.95,61.77,8.93,8.12,0.14,15.72,61.72,6.92,7.44,0.36,0.7700000000000014,-0.05000000000000426,-2.01,-0.6799999999999988,0.21999999999999997,2018-19
1610612759,11.41,66.31,7.68,9.92,0.37,11.39,67.26,6.57,10.87,0.26,-0.019999999999999574,0.9500000000000028,-1.1099999999999994,0.9499999999999993,-0.10999999999999999,2018-19
1610612761,15.27,67.44,9.73,7.37,0.58,15.3,64.78,7.17,6.87,0.83,0.030000000000001137,-2.6599999999999966,-2.5600000000000005,-0.5,0.25,2018-19
1610612762,14.63,65.14,8.51,10.26,0.26,14.24,63.52,8.24,9.8,0.28,-0.39000000000000057,-1.6199999999999974,-0.2699999999999996,-0.4599999999999991,0.020000000000000018,2018-19
1610612764,15.9,62.38,8.72,8.34,0.74,12.79,61.25,8.08,6.71,0.42,-3.110000000000001,-1.1300000000000026,-0.6400000000000006,-1.63,-0.32,2018-19
1610612737,15.07,60.43,7.14,8.04,0.39,14.18,61.36,7.36,8.09,0.64,-0.8900000000000006,0.9299999999999997,0.22000000000000064,0.05000000000000071,0.25,2019-20
1610612738,17.33,61.57,7.8,11.35,0.93,14.89,60.72,7.44,10.5,0.67,-2.4399999999999977,-0.8500000000000014,-0.35999999999999943,-0.8499999999999996,-0.26,2019-20
1610612751,12.19,65.32,7.7,10.57,0.43,12.37,61.79,6.63,9.74,0.74,0.17999999999999972,-3.529999999999994,-1.0700000000000003,-0.8300000000000001,0.31,2019-20
1610612766,13.65,59.76,7.54,7.52,0.72,13.82,57.09,7.36,6.27,1.0,0.16999999999999993,-2.6699999999999946,-0.17999999999999972,-1.25,0.28,2019-20
1610612741,17.09,57.36,8.15,8.55,0.95,19.2,50.6,8.3,12.0,1.0,2.1099999999999994,-6.759999999999998,0.15000000000000036,3.4499999999999993,0.050000000000000044,2019-20
1610612739,12.17,56.07,7.31,10.2,0.52,13.91,55.64,7.09,9.73,0.73,1.7400000000000002,-0.4299999999999997,-0.21999999999999975,-0.46999999999999886,0.20999999999999996,2019-20
1610612742,12.4,63.47,7.15,9.02,0.67,12.55,58.95,5.8,8.85,0.35,0.15000000000000036,-4.519999999999996,-1.3500000000000005,-0.16999999999999993,-0.32000000000000006,2019-20
1610612743,15.64,56.91,7.44,9.24,0.53,14.0,56.0,6.11,7.5,0.5,-1.6400000000000006,-0.9099999999999966,-1.33,-1.7400000000000002,-0.030000000000000027,2019-20
1610612765,14.84,60.12,7.6,8.95,0.42,13.0,55.22,6.0,10.0,0.11,-1.8399999999999999,-4.899999999999999,-1.5999999999999996,1.0500000000000007,-0.31,2019-20
